login;email;id
Addam Marbrand;AddamMarbrand@Lannister.com;1
Aegon Frey (Jinglebell);AegonFrey_Jinglebell@None.com;2
Aegon Targaryen;AegonTargaryen@HouseTargaryen.com;3
Adrack Humble;AdrackHumble@HouseGreyjoy.com;4
Aemon Costayne;AemonCostayne@Lannister.com;5
Aemon Estermont;AemonEstermont@Baratheon.com;6
Aemon Targaryen (son of Maekar I);AemonTargaryen_sonofMaekarI@NightsWatch.com;7
Aenys Frey;AenysFrey@None.com;8
Aeron Greyjoy;AeronGreyjoy@HouseGreyjoy.com;9
Aethan;Aethan@NightsWatch.com;10
Aggar;Aggar@HouseGreyjoy.com;11
Aggo;Aggo@HouseTargaryen.com;12
Alan of Rosby;AlanofRosby@NightsWatch.com;13
Alayaya;Alayaya@None.com;14
Albar Royce;AlbarRoyce@Arryn.com;15
Albett;Albett@NightsWatch.com;16
Alebelly;Alebelly@HouseStark.com;17
Alerie Hightower;AlerieHightower@HouseTyrell.com;18
Alesander Staedmon;AlesanderStaedmon@Baratheon.com;19
Alester Florent;AlesterFlorent@Baratheon.com;20
Alia of Braavos;AliaofBraavos@None.com;21
Alla Tyrell;AllaTyrell@HouseTyrell.com;22
Allard Seaworth;AllardSeaworth@Baratheon.com;23
Alliser Thorne;AlliserThorne@NightsWatch.com;24
Alyn;Alyn@HouseStark.com;25
Alyn Ambrose;AlynAmbrose@Tyrell.com;26
Alyn Estermont;AlynEstermont@Baratheon.com;27
Alyn Stackspear;AlynStackspear@Lannister.com;28
Alys Karstark;AlysKarstark@Stark.com;29
Alysane Mormont;AlysaneMormont@Stark.com;30
Alyx Frey;AlyxFrey@None.com;31
Ambrode;Ambrode@Greyjoy.com;32
Amory Lorch;AmoryLorch@HouseLannister.com;33
Andar Royce;AndarRoyce@Arryn.com;34
Andrew Estermont;AndrewEstermont@Baratheon.com;35
Andrey Dalt;AndreyDalt@Martell.com;36
Andrik;Andrik@Greyjoy.com;37
Anguy;Anguy@None.com;38
Antario Jast;AntarioJast@Lannister.com;39
Anvil Ryn;AnvilRyn@None.com;40
